concentration;id;start_date;start_hour;end_date;end_hour;emergence
0.02;3;10/01/2023;11:27;22/01/2023;11:00;1
0.02;4;10/01/2023;11:46;22/01/2023;11:00;0
0.02;5;10/01/2023;12:02;22/01/2023;11:00;0
0.02;6;10/01/2023;12:58;22/01/2023;11:00;0
0.02;7;10/01/2023;13:18;22/01/2023;11:00;1
0.02;8;10/01/2023;13:55;22/01/2023;11:00;0
0.02;9;10/01/2023;15:09;22/01/2023;11:00;1
0.02;10;10/01/2023;16:10;22/01/2023;11:00;2
0.004;1;10/01/2023;10:56;22/01/2023;11:00;0
0.004;2;10/01/2023;11:13;22/01/2023;11:00;1
0.004;3;10/01/2023;11:29;22/01/2023;11:00;2
0.004;4;10/01/2023;11:48;22/01/2023;11:00;0
0.004;5;10/01/2023;12:04;22/01/2023;11:00;0
0.004;6;10/01/2023;13:00;22/01/2023;11:00;0
0.004;7;10/01/2023;13:20;22/01/2023;11:00;0
0.004;8;10/01/2023;13:58;22/01/2023;11:00;0
0.004;9;10/01/2023;15:10;22/01/2023;11:00;1
0.004;10;10/01/2023;16:11;22/01/2023;11:00;2
0.0008;1;10/01/2023;10:58;22/01/2023;11:00;0
0.0008;2;10/01/2023;11:15;22/01/2023;11:00;0
0.0008;3;10/01/2023;11:31;22/01/2023;11:00;1
0.0008;4;10/01/2023;11:50;22/01/2023;11:00;0
0.0008;5;10/01/2023;12:06;22/01/2023;11:00;1
0.0008;6;10/01/2023;13:02;22/01/2023;11:00;0
0.0008;7;10/01/2023;13:22;22/01/2023;11:00;0
0.0008;8;10/01/2023;14:00;22/01/2023;11:00;0
0.0008;9;10/01/2023;15:13;22/01/2023;11:00;0
0.0008;10;10/01/2023;16:13;22/01/2023;11:00;1
0;1;10/01/2023;10:44;23/01/2023;14:30;0
0;2;10/01/2023;11:00;23/01/2023;14:30;1
0;3;10/01/2023;11:16;23/01/2023;14:30;0
0;4;10/01/2023;11:34;23/01/2023;14:30;0
0;5;10/01/2023;11:52;23/01/2023;14:30;0
0;6;10/01/2023;12:46;23/01/2023;14:30;0
0;7;10/01/2023;13:05;23/01/2023;14:30;0
0;8;10/01/2023;13:26;23/01/2023;14:30;0
